F116,F115,F117,F121,F110,F64,F104,F101,F68,F72,F22,F77,status
1.0,0.333333333333,1.0,0.0,1.0,1321.0,0.0442477876106,0.556023391813,29.0,2658.0,2.0,8531.0,deleted
-1.0,0.333333333333,0.2,0.00988875154512,-0.542857142857,1321.0,0.0442477876106,0.580116959064,29.0,2658.0,2.0,580.0,deleted
1.0,0.333333333333,0.2,0.00988875154512,-0.4,1321.0,0.0442477876106,0.550877192982,29.0,2658.0,3.0,154.0,deleted
0.0,-1.0,0.0,0.00741656365884,-1.0,1321.0,0.0416666666667,0.344827586207,29.0,9780.0,2.0,8531.0,deleted
-1.0,-1.0,0.333333333333,0.00741656365884,-0.333333333333,1321.0,0.5,0.810810810811,29.0,4237.0,3.0,2988.0,deleted
1.0,1.0,0.031007751938,0.00741656365884,-0.813953488372,1321.0,0.270114942529,0.552123552124,29.0,1414.0,3.0,165.0,deleted
-1.0,-1.0,0.2,0.00988875154512,-0.542857142857,794.0,0.132530120482,0.774373259053,12.0,4522.0,2.0,6330.0,close
-1.0,-1.0,0.0363636363636,0.00741656365884,-0.6,794.0,0.132530120482,0.844011142061,12.0,4522.0,3.0,6330.0,open
1.0,1.0,0.5,0.00123609394314,0.0,794.0,0.7,0.6,12.0,7756.0,3.0,6507.0,close
-1.0,-1.0,0.0363636363636,0.00741656365884,-0.6,794.0,0.217391304348,0.428571428571,12.0,5759.0,3.0,3129.0,open
0.0,-1.0,0.0,0.00123609394314,-1.0,88.0,0.267441860465,0.585185185185,4.0,8218.0,2.0,6969.0,open
0.0,-1.0,0.166666666667,0.00988875154512,-0.666666666667,99.0,0.161538461538,0.252747252747,3.0,9785.0,1.0,8536.0,deleted
0.0,-1.0,0.166666666667,0.00988875154512,-0.666666666667,99.0,1.5,0.815789473684,3.0,6489.0,1.0,5240.0,close
0.0,-1.0,0.166666666667,0.00988875154512,-0.666666666667,72.0,1.5,0.939393939394,6.0,9066.0,1.0,7817.0,open
0.0,-1.0,0.166666666667,0.00988875154512,-0.666666666667,72.0,1.63636363636,0.9375,6.0,9785.0,1.0,8536.0,open
