F72,F54,Name,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-PatternSet,F16-RepositoryBase,F16-Profile,F16-RepositoryPolicy,F16-Plugin,F16-Object,F16-char,F16-ActivationFile,F16-NA,F16-Dependency,F16-void,F16-int,F16-boolean,F16-Repository,F16-Date,F16-String,F16-ConfigurationContainer,F16-PluginConfiguration,F16-Model,F16-Settings,F3-NA,F3-planItemIterator.next(),F3-Model,F3-Class,F3-localRepository(),F3-DefaultBeanConfigurationRequest,F3-ArtifactRepository,F3-File,F3-InputStream,F3-null,F3-boolean,F3-ProjectSegment,F3-XmlPullParser,F3-String,F3-int,F3-MavenSession,F3-Artifact,F3-SimpleProblemCollector,F3-MavenProject,F3-TaskSegment,F7--,F7-+=,F7-NA,F7-+,F12-File,F12-NA,F12-boolean,F12-String,F12-ThreadOutputMuxer,F12-List<TransferEvent>,F12-List<String>,F17-static,F17-NA,F2-Class,F2-StringBuilder,F2-NA,F2-Map<String String>,F2-Integer,F2-Byte,F2-ByteArrayOutputStream,F2-StringTokenizer,F2-Short,F2-HashMap<String Artifact>,F2-String,F2-Iterator,F2-Collections,F2-Double,F2-ArtifactTransferEvent,F2-Long,F2-Float,F2-DefaultInheritanceAssemblerTest,F2-List,F2-File,F6-java.io.ByteArrayOutputStream,F6-NA,F6-org.apache.maven.model.io.xpp3.RepositoryBase,F6-java.util.HashMap,F6-java.io.PrintStream,F6-org.apache.maven.model.io.xpp3.InputLocation,F6-org.apache.maven.model.io.xpp3.PatternSet,F6-org.apache.maven.model.io.xpp3.ModelBase,F6-org.apache.maven.model.io.xpp3.ConfigurationContainer,F6-java.io.File,F6-org.apache.maven.project.DefaultProjectBuildingRequest,F6-java.util.HashMap<java.lang.String java.lang.String>,F6-org.apache.maven.lifecycle.internal.ConcurrentBuildLogger,F6-org.apache.maven.model.io.xpp3.FileSet,F6-java.lang.StringBuilder,F6-org.apache.maven.model.io.xpp3.XmlPullParserException,F6-org.apache.maven.model.validation.SimpleProblemCollector,F6-org.apache.maven.settings.DefaultProjectBuildingRequest,F6-org.apache.maven.model.io.xpp3.PluginContainer,F6-org.apache.maven.model.io.xpp3.PluginConfiguration,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-shortValue,F1-getProject,F1-doubleValue,F1-getAttributeValue,F1-getAttributeCount,F1-delete,F1-NA,F1-getRepositories,F1-getId,F1-intValue,F1-getBasedir,F1-getPluginRepositories,F1-longValue,F1-get,F1-equals,F1-floatValue,F1-charAt,F1-getName,F1-mkdirs,F1-byteValue,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.lang.Number,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-java.util.HashSet,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.text.DateFormat,F9-request,F9-start,F9-buildStartTime,F9-modelPool,F9-dependency,F9-startTime,F9-project,F9-executionPlanItem,F9-upstreamProject,F9-modelCache,F9-remoteRepositories,F9-dependant,F9-cpc,F9-graph,F9-stop,F9-plugin,F9-pomArtifact,F9-NA,F9-relocatedArtifact,F9-dataBuffer,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Integer,F4-boolean,F4-InputStream,F4-long,F4-Date,F4-float,F4-char,F4-Object,F4-File,F4-void,F4-double,F4-List,F4-StringBuilder,F4-int,F4-String,F4-Build,F4-short,F4-Model,F4-byte,F8-Dependency,F8-DefaultMavenExecutionRequest,F8-MetadataResolutionResult,F8-DefaultProjectBuilderConfiguration,F8-Authentication,F8-ArtifactTransferEvent,F8-DependencyLogEntry,F8-CacheRecord,F8-SettingsAdapter,F8-ClasspathGraphVisitor,F8-MojoExecution,F8-NA,F8-InternalConfig,F8-ProjectBuilder,F11-artifactExists,F11-NA,F11-artifactUri,F11-DEFAULT_USER_SETTINGS_FILE,F11-messages,F11-events,F11-threadOutputMuxer,F11-userMavenConfigurationHome,F11-EMPTY_PROJECT_GROUP_ID,F11-alias,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-handyande@apache.org,F71-ogusakov@apache.org,F71-vsiveton@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-evenisse@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-bentmann@apache.org,F71-pgier@apache.org,F71-krosenvold@apache.org,F71-joakime@apache.org,F71-trygvis@apache.org,F71-jdcasey@apache.org,F74,F73,F84,F146,category
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,944,True,70,17,1343,1,13,135,6,29,0.542824858757,705,30,0.0425531914894,0.0857142857143,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3,EXPERIMENTAL,0.00112485939258,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,2,0.0166666666667,0.00333333333333,0.00222222222222,1.0,1.0,0.0,0.5,0.0396825396825,1.0,0.0,0.00224971878515,0.0396825396825,-0.6,0.333333333333,301,8762,2669,9780,9,0.283018867925,1,25,-16,35,0.0195303183843,1581,1531,569,3681,10,50,5,0.189991457123,15,2984,0,1858,612,-5,5454,1126,0.154278981073,75,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1092,10178,75,1092,0
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,944,True,8,17,1343,1,8,135,2,29,0.564971751412,705,30,0.0425531914894,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3,BAD_PRACTICE,0.0404949381327,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.0166666666667,0.00333333333333,0.00111111111111,-1.0,0.194444444444,0.00978973765432,0.14371257485,0.279308243863,-0.555555555556,0.0101237345332,0.0247469066367,0.279308243863,-0.6,0.333333333333,29,811,771,1829,9,0.283018867925,1,25,-16,35,0.0195303183843,1581,1531,569,3681,10,50,5,0.189991457123,15,2984,0,1858,612,-5,5454,1126,0.154278981073,75,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1092,10178,75,1092,1
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,944,True,14,17,1343,1,8,135,2,29,0.537853107345,705,30,0.0425531914894,0.214285714286,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,3,BAD_PRACTICE,0.00562429696288,UI_INHERITANCE_UNSAFE_GETRESOURCE,19,3,2,0.0166666666667,0.00333333333333,0.00222222222222,1.0,0.2,0.01,0.14371257485,0.279308243863,-0.6,0.0101237345332,0.0247469066367,0.279308243863,-0.6,0.333333333333,10,385,461,1403,9,0.283018867925,1,25,-16,35,0.0195303183843,1581,1531,569,3681,10,50,5,0.189991457123,15,2984,0,1858,612,-5,5454,1126,0.154278981073,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1092,10178,75,1092,0
9780,org/apache/maven,org/apache/maven/MavenTest.java,2669,True,0,4,1343,1,8,135,1,29,0.431034482759,48,2,0.0416666666667,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,2,PERFORMANCE,0.00787401574803,URF_UNREAD_FIELD,18,2,0,0.0166666666667,0.00222222222222,0.0,0.0,0.142857142857,0.0102040816327,0.18137254902,0.502713126855,-0.714285714286,0.00562429696288,0.0404949381327,0.502713126855,-0.6,-1.0,4,1558,932,2576,9,0.0,1,25,-16,35,0.0195303183843,73,5,4,82,0,68,0,0.02490680066,0,2984,0,1858,612,0,5454,1126,0.154278981073,1199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2216,10178,75,1092,1
9780,org/apache/maven,org/apache/maven/MavenTest.java,2669,True,0,4,1343,1,8,135,1,29,0.413793103448,48,2,0.0416666666667,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,2,PERFORMANCE,0.00787401574803,URF_UNREAD_FIELD,18,2,0,0.0166666666667,0.00222222222222,0.0,0.0,0.142857142857,0.0102040816327,0.18137254902,0.502713126855,-0.714285714286,0.00562429696288,0.0404949381327,0.502713126855,-0.6,-1.0,6,1819,976,2837,9,0.0,1,25,-16,35,0.0195303183843,73,5,4,82,0,68,0,0.02490680066,0,2984,0,1858,612,0,5454,1126,0.154278981073,1199,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2216,10178,75,1092,1
4237,org/apache/maven,org/apache/maven/ProjectBuildFailureException.java,1512,True,3,3,1343,1,8,135,1,29,0.810810810811,20,10,0.5,0.666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,1,STYLE,0.00337457817773,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,20,3,1,0.0166666666667,0.00111111111111,0.00111111111111,-1.0,0.333333333333,0.010582010582,0.0788863109049,0.484470786562,-0.333333333333,0.0112485939258,0.0281214848144,0.484470786562,-0.6,-1.0,1,3219,1512,4237,9,0.0,1,25,-16,35,0.0195303183843,2,11,0,13,0,-9,0,0.0742857142857,0,2984,0,1858,612,0,5454,1126,0.154278981073,1928,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2946,10178,75,1092,1
1414,org/apache/maven,org/apache/maven/ReactorReader.java,463,True,16,11,1343,1,0,135,10,29,0.5546875,171,47,0.27485380117,1.0,21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15,1,STYLE,0.145106861642,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,1,0.0166666666667,0.00111111111111,0.00111111111111,1.0,0.0387596899225,0.00177416077903,0.0788863109049,0.484470786562,-0.806201550388,0.0112485939258,0.0281214848144,0.484470786562,-0.6,1.0,4,396,463,1414,9,0.104347826087,1,25,-16,35,0.0195303183843,200,12,0,212,10,188,2,0.100615548762,12,2984,0,1858,612,-8,5454,1126,0.154278981073,75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1092,10178,75,1092,0
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,1683,True,10,24,794,1,8,179,7,12,0.784916201117,249,32,0.128514056225,0.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.00112485939258,OS_OPEN_STREAM_EXCEPTION_PATH,19,3,3,0.00666666666667,0.00444444444444,0.00333333333333,-0.333333333333,1.0,0.0,0.14371257485,0.279308243863,1.0,0.0101237345332,0.0247469066367,0.279308243863,-0.333333333333,-0.5,7,2567,1098,3585,0,0.0,0,0,0,0,0.0,7,398,0,405,0,-391,0,0.0168774378406,0,1774,0,1567,60,0,3401,207,0.154851635036,151,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1168,10178,151,1168,0
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,1683,True,7,24,794,1,8,179,3,12,0.307262569832,249,32,0.128514056225,0.571428571429,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.0404949381327,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.00666666666667,0.00444444444444,0.00111111111111,-1.0,0.194444444444,0.00978973765432,0.14371257485,0.279308243863,-0.555555555556,0.0101237345332,0.0247469066367,0.279308243863,-0.333333333333,-0.5,13,6561,2294,7579,0,0.0,0,0,0,0,0.0,7,398,0,405,0,-391,0,0.0168774378406,0,1774,0,1567,60,0,3401,207,0.154851635036,151,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1168,10178,151,1168,1
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,1683,True,10,24,794,1,12,179,7,12,0.776536312849,249,32,0.128514056225,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.0404949381327,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,3,0.00666666666667,0.00444444444444,0.00333333333333,-0.333333333333,0.194444444444,0.00978973765432,0.14371257485,0.279308243863,-0.555555555556,0.0101237345332,0.0247469066367,0.279308243863,-0.333333333333,-0.5,13,6561,2294,7579,0,0.0,0,0,0,0,0.0,7,398,0,405,0,-391,0,0.0168774378406,0,1774,0,1567,60,0,3401,207,0.154851635036,151,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1168,10178,151,1168,1
