F72,F54,F55,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-ArtifactResolutionException,F16-DependencyManagement,F16-RepositoryBase,F16-RepositoryPolicy,F16-Plugin,F16-Object,F16-char,F16-ActivationFile,F16-NA,F16-Dependency,F16-void,F16-int,F16-boolean,F16-Repository,F16-Date,F16-String,F16-Activation,F16-Model,F16-Settings,F16-Notifier,F3-NA,F3-planItemIterator.next(),F3-Model,F3-localRepository(),F3-problems.getModel(),F3-DefaultBeanConfigurationRequest,F3-File,F3-InputStream,F3-null,F3-ProjectSegment,F3-event.getSession(),F3-XmlPullParser,F3-String,F3-int,F3-ArtifactResolutionRequest,F3-ModelBuildingRequest,F3-Properties,F3-Artifact,F3-SimpleProblemCollector,F3-MavenProject,F7-+=,F7-NA,F7-+,F12-File,F12-NA,F12-boolean,F12-String,F12-ThreadOutputMuxer,F12-List<TransferEvent>,F12-List<String>,F17-static,F17-NA,F2-Class,F2-NA,F2-Map<String String>,F2-Integer,F2-Byte,F2-ByteArrayOutputStream,F2-Short,F2-SettingsXpp3Reader,F2-HashMap<String Artifact>,F2-String,F2-Collections,F2-ParamdocXpp3Reader,F2-Double,F2-Long,F2-Float,F2-DefaultInheritanceAssemblerTest,F2-DefaultModelValidatorTest,F2-List,F2-MavenToolchainsXpp3Reader,F2-File,F6-java.io.ByteArrayOutputStream,F6-NA,F6-java.util.ArrayList,F6-java.util.Properties,F6-java.io.PrintStream,F6-org.apache.maven.model.io.xpp3.InputLocation,F6-org.apache.maven.model.io.xpp3.PatternSet,F6-org.apache.maven.model.io.xpp3.ModelBase,F6-org.apache.maven.model.building.FileModelSource,F6-java.io.File,F6-org.apache.maven.project.DefaultProjectBuildingRequest,F6-org.apache.maven.repository.internal.VersionRequest,F6-java.util.HashMap<java.lang.String java.lang.String>,F6-org.apache.maven.lifecycle.internal.ConcurrentBuildLogger,F6-org.apache.maven.model.io.xpp3.FileSet,F6-org.apache.maven.model.io.xpp3.XmlPullParserException,F6-org.apache.maven.model.validation.SimpleProblemCollector,F6-org.apache.maven.settings.DefaultProjectBuildingRequest,F6-org.apache.maven.model.io.xpp3.PluginContainer,F6-org.apache.maven.model.io.xpp3.PluginConfiguration,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-NA,F14-final,F1-shortValue,F1-getProject,F1-doubleValue,F1-startTag,F1-getAttributeValue,F1-getAttributeCount,F1-delete,F1-NA,F1-getId,F1-intValue,F1-getBasedir,F1-getBooleanValue,F1-longValue,F1-equals,F1-floatValue,F1-charAt,F1-getPlugins,F1-getName,F1-mkdirs,F1-byteValue,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-java.util.AbstractList,F5-java.lang.AbstractStringBuilder,F5-java.util.HashSet,F5-java.io.OutputStream,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.text.DateFormat,F9-request,F9-start,F9-buildStartTime,F9-username,F9-modelPool,F9-dependency,F9-startTime,F9-project,F9-executionPlanItem,F9-upstreamProject,F9-remoteRepositories,F9-dependant,F9-cpc,F9-graph,F9-stop,F9-pomArtifact,F9-NA,F9-relocatedArtifact,F9-pomFile,F9-dataBuffer,F10-NA,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-Integer,F4-boolean,F4-InputStream,F4-Exception,F4-long,F4-Date,F4-float,F4-char,F4-byte[],F4-File,F4-void,F4-double,F4-List,F4-String,F4-int,F4-Build,F4-short,F4-Model,F4-byte,F8-Dependency,F8-DefaultMavenExecutionRequest,F8-MetadataResolutionResult,F8-DefaultProjectBuilderConfiguration,F8-Authentication,F8-ArtifactTransferEvent,F8-DependencyLogEntry,F8-CacheRecord,F8-SettingsAdapter,F8-ClasspathGraphVisitor,F8-NA,F8-DefaultModelBuildingRequest,F8-InternalConfig,F8-ProjectBuilder,F11-lifecyclePhase,F11-artifactExists,F11-NA,F11-artifactUri,F11-DEFAULT_USER_SETTINGS_FILE,F11-messages,F11-events,F11-threadOutputMuxer,F11-userMavenConfigurationHome,F11-EMPTY_PROJECT_GROUP_ID,F11-alias,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-stephen.alan.connolly@gmail.com,F71-ogusakov@apache.org,F71-brett@apache.org,F71-hboutemy@apache.org,F71-kenney@apache.org,F71-sisbell@apache.org,F71-aheritier@apache.org,F71-mkleint@apache.org,F71-carlos@apache.org,F71-evenisse@apache.org,F71-olamy@apache.org,F71-jvanzyl@apache.org,F71-rfscholte@apache.org,F71-brianf@apache.org,F71-ifedorenko@apache.org,F71-igor@ifedorenko.com,F71-bentmann@apache.org,F71-krosenvold@apache.org,F71-jason@tesla.io,F71-jdcasey@apache.org,F74,F73,F84,F146,status
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,1706,True,70,17,1337,1,13,135,6,29,0.543340857788,703,34,0.0483641536273,0.0857142857143,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,3,EXPERIMENTAL,0.00114025085519,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,20,2,2,0.0157657657658,0.00337837837838,0.00225225225225,1.0,1.0,0.0,0.25,0.0892857142857,1.0,0.0,0.00114025085519,0.0892857142857,-0.714285714286,0.333333333333,325,9263,3431,9780,1,0.0,0,1,0,2,0.000147601476015,1645,1572,573,3790,0,73,0,0.187296991771,0,2903,0,1949,622,0,5474,954,0.155239636811,58,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,574,10178,12,528,close
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,1706,True,8,17,1337,1,8,135,2,29,0.56546275395,703,34,0.0483641536273,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,3,BAD_PRACTICE,0.0410490307868,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.0157657657658,0.00337837837838,0.00112612612613,-1.0,0.194444444444,0.00921387073348,0.059880239521,0.148993741598,-0.555555555556,0.00228050171038,0.0102622576967,0.148993741598,-0.714285714286,0.333333333333,53,1312,1533,1829,1,0.0,0,1,0,2,0.000147601476015,1645,1572,573,3790,0,73,0,0.187296991771,0,2903,0,1949,622,0,5474,954,0.155239636811,58,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,574,10178,12,528,open
2658,org/apache/maven,org/apache/maven/DefaultMaven.java,1706,True,14,17,1337,1,8,135,2,29,0.538374717833,703,34,0.0483641536273,0.214285714286,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,3,BAD_PRACTICE,0.00570125427594,UI_INHERITANCE_UNSAFE_GETRESOURCE,19,3,2,0.0157657657658,0.00337837837838,0.00225225225225,1.0,0.2,0.00941176470588,0.059880239521,0.148993741598,-0.6,0.00228050171038,0.0102622576967,0.148993741598,-0.714285714286,0.333333333333,34,886,1223,1403,1,0.0,0,1,0,2,0.000147601476015,1645,1572,573,3790,0,73,0,0.187296991771,0,2903,0,1949,622,0,5474,954,0.155239636811,58,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,574,10178,12,528,close
9780,org/apache/maven,org/apache/maven/MavenTest.java,3431,True,0,4,1337,1,8,135,1,29,0.521739130435,44,16,0.363636363636,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,2,PERFORMANCE,0.00798175598632,URF_UNREAD_FIELD,18,2,0,0.0157657657658,0.00225225225225,0.0,0.0,0.0,0.0,0.0909090909091,0.105058906097,-1.0,0.0,0.0205245153934,0.105058906097,-0.714285714286,-1.0,6,2059,1694,2576,1,0.0,0,1,0,2,0.000147601476015,86,5,4,95,0,81,0,0.0243782831105,0,2903,0,1949,622,0,5474,954,0.155239636811,107,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,623,10178,12,528,open
9780,org/apache/maven,org/apache/maven/MavenTest.java,3431,True,0,4,1337,1,8,135,1,29,0.507246376812,44,16,0.363636363636,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,2,PERFORMANCE,0.00798175598632,URF_UNREAD_FIELD,18,2,0,0.0157657657658,0.00225225225225,0.0,0.0,0.0,0.0,0.0909090909091,0.105058906097,-1.0,0.0,0.0205245153934,0.105058906097,-0.714285714286,-1.0,8,2320,1738,2837,1,0.0,0,1,0,2,0.000147601476015,86,5,4,95,0,81,0,0.0243782831105,0,2903,0,1949,622,0,5474,954,0.155239636811,107,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,623,10178,12,528,open
4237,org/apache/maven,org/apache/maven/ProjectBuildFailureException.java,2274,True,3,3,1337,1,8,135,1,29,0.872727272727,20,27,1.35,0.666666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,STYLE,0.00456100342075,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,20,3,1,0.0157657657658,0.00112612612613,0.00112612612613,-1.0,0.25,0.00892857142857,0.0687203791469,0.358887020837,-0.5,0.00798175598632,0.0262257696693,0.358887020837,-0.714285714286,-1.0,3,3720,2274,4237,1,0.0,0,1,0,2,0.000147601476015,3,13,0,16,0,-10,0,0.130892857143,0,2903,0,1949,622,0,5474,954,0.155239636811,99,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,617,10178,12,528,open
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,True,10,25,808,1,8,181,7,12,0.791327913279,259,32,0.123552123552,0.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.00114025085519,OS_OPEN_STREAM_EXCEPTION_PATH,19,3,3,0.00675675675676,0.0045045045045,0.00337837837838,-0.333333333333,1.0,0.0,0.059880239521,0.148993741598,1.0,0.00228050171038,0.0102622576967,0.148993741598,-0.666666666667,-0.5,13,3068,1860,3585,12,0.0,0,2,10,14,0.0299145299145,10,402,0,412,0,-392,0,0.0329600398218,0,2153,0,1356,43,0,3552,797,0.172482723535,157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,673,10178,5,521,close
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,True,7,25,808,1,8,181,3,12,0.327913279133,259,32,0.123552123552,0.571428571429,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.0410490307868,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.00675675675676,0.0045045045045,0.00112612612613,-1.0,0.194444444444,0.00921387073348,0.059880239521,0.148993741598,-0.555555555556,0.00228050171038,0.0102622576967,0.148993741598,-0.666666666667,-0.5,19,7062,3056,7579,12,0.0,0,2,10,14,0.0299145299145,10,402,0,412,0,-392,0,0.0329600398218,0,2153,0,1356,43,0,3552,797,0.172482723535,157,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,673,10178,5,521,open
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,True,10,25,808,1,12,181,7,12,0.783197831978,259,32,0.123552123552,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,BAD_PRACTICE,0.0410490307868,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,3,0.00675675675676,0.0045045045045,0.00337837837838,-0.333333333333,0.194444444444,0.00921387073348,0.059880239521,0.148993741598,-0.555555555556,0.00228050171038,0.0102622576967,0.148993741598,-0.666666666667,-0.5,19,7062,3056,7579,12,0.0,0,2,10,14,0.0299145299145,10,402,0,412,0,-392,0,0.0329600398218,0,2153,0,1356,43,0,3552,797,0.172482723535,157,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,673,10178,5,521,open
4522,org/apache/maven/artifact,org/apache/maven/artifact/AbstractArtifactComponentTestCase.java,2445,True,4,25,808,1,8,181,2,12,0.850948509485,259,32,0.123552123552,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,STYLE,0.0798175598632,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,3,0.00675675675676,0.0045045045045,0.00337837837838,-0.333333333333,0.0857142857143,0.00373177842566,0.0687203791469,0.358887020837,-0.6,0.00798175598632,0.0262257696693,0.358887020837,-0.666666666667,-0.5,12,2214,1712,2731,12,0.0,0,2,10,14,0.0299145299145,10,402,0,412,0,-392,0,0.0329600398218,0,2153,0,1356,43,0,3552,797,0.172482723535,157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,673,10178,5,521,open
