F72,F54,Name,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-Object,F16-NA,F16-void,F16-int,F16-URL,F16-boolean,F16-URL[],F16-String,F16-Manifest,F16-Reader,F16-PrintStream,F16-File,F16-DateFormat,F3-NA,F3-Class,F3-Long,F3-PrintStream,F3-File,F3-Project,F3-byte[],F3-null,F3-boolean,F3-Object,F3-FileInputStream,F3-FileOutputStream,F3-char,F3-nestedTask.getTaskName(),F3-String,F3-long,F3-int,F3-Project.MSG_DEBUG,F3-Path,F3-Locale,F7--,F7-/,F7-&=,F7-++,F7-+=,F7-NA,F7-*,F7-+,F12-long,F12-int,F12-Object,F12-NA,F12-boolean,F12-Vector,F12-Method,F12-String,F12-AssertionFailedError,F12-HandlerType,F12-URL,F12-Reference,F12-File,F12-FileUtils,F12-ArrayList,F12-UnparseableExtraFieldData,F12-Union,F12-Path,F12-LinkedHashMap,F12-MailMessage,F17-final,F17-static,F17-static-final,F17-NA,F2-AbstractFileSetTest,F2-Document,F2-Process,F2-NA,F2-StringBuffer,F2-DateFormatFactory,F2-Vector,F2-Properties,F2-Math,F2-Object,F2-String,F2-Iterator,F2-Map,F2-Hashtable,F2-System,F2-List,F2-MockProject,F2-OutputStream,F2-Enumeration,F2-File,F6-java.io.ByteArrayOutputStream,F6-java.io.BufferedWriter,F6-org.apache.tools.zip.ZipLong,F6-NA,F6-java.lang.Long,F6-java.io.InputStreamReader,F6-java.util.Vector,F6-java.io.FileInputStream,F6-java.util.Properties,F6-java.io.PrintStream,F6-java.io.ByteArrayInputStream,F6-org.apache.tools.ant.util.LayoutPreservingProperties,F6-java.lang.Integer,F6-org.apache.tools.ant.types.PatternSet,F6-java.io.FileReader,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuffer,F6-org.apache.tools.ant.types.Path,F6-java.io.BufferedReader,F13-private,F13-NA,F13-protected,F13-public,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-NA,F1-delete,F1-NA,F1-next,F1-iterator,F1-assertEquals,F1-getInstance,F1-get,F1-indexOf,F1-listFiles,F1-equals,F1-toLowerCase,F1-getProperty,F1-resolveFile,F1-load,F1-createTempFile,F1-log,F1-mkdirs,F1-list,F1-getInputStream,F1-assertTrue,F5-java.util.AbstractMap,F5-DataType,F5-java.lang.Object,F5-NA,F5-java.io.Writer,F5-Task,F5-java.io.OutputStreamWriter,F5-java.io.FilterOutputStream,F5-java.util.Hashtable,F5-java.io.InputStream,F5-java.io.FilterInputStream,F5-java.io.InputStreamReader,F5-java.lang.Number,F5-java.io.Reader,F5-java.util.AbstractList,F5-java.lang.RuntimeException,F5-java.lang.AbstractStringBuilder,F5-java.io.OutputStream,F5-EnumeratedAttribute,F5-java.util.HashMap,F9-anonymousSchema,F9-ignoreSystemclasses,F9-uname,F9-forceOverwrite,F9-replyto,F9-extDirs,F9-key,F9-keys,F9-method,F9-todir,F9-genericJarSuffix,F9-dateTime,F9-trim,F9-NA,F9-out,F9-className,F9-path,F9-nowarn,F9-buildfile,F9-dir,F10-NA,F10-true,F19-NA,F19-abstract,F19-interface,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-String[],F4-boolean,F4-InputStream,F4-File[],F4-long,F4-StringBuffer,F4-AbstractFileSet,F4-Enumeration,F4-DateFormat,F4-Node,F4-Object,F4-byte[],F4-File,F4-Element,F4-void,F4-String,F4-int,F4-Iterator,F4-SecurityManager,F8-PropertyChecker,F8-ManifestClassPath,F8-AbstractCvsTask,F8-BFT,F8-Checksum,F8-Touch,F8-Execute,F8-EjbJar,F8-JDBCTask,F8-DirectoryScanner,F8-SchemaValidate,F8-MailMessage,F8-MethodAndObject,F8-Rmic,F8-Available,F8-NA,F8-ReferenceChecker,F8-AbstractFileSet,F8-AntTypeDefinition,F8-Javac,F11-msg,F11-description,F11-nested,F11-NA,F11-refid,F11-classname,F11-FILE_UTILS,F11-type,F11-error,F11-externalAttributes,F11-unparseableExtra,F11-extraFields,F11-ref,F11-platform,F11-unlessCond,F11-from,F11-name,F11-dir,F11-to,F11-selectorsList,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-kevj@apache.org,F71-dev-null@apache.org,F71-jskeet@apache.org,F71-donaldp@apache.org,F71-antoine@apache.org,F71-jkf@apache.org,F71-stevel@apache.org,F71-jglick@apache.org,F71-bodewig@apache.org,F71-stefano@apache.org,F71-umagesh@apache.org,F71-sbailliez@apache.org,F71-ehatcher@apache.org,F71-costin@apache.org,F71-rubys@apache.org,F71-peterreilly@apache.org,F71-hibou@apache.org,F71-conor@apache.org,F71-mbenson@apache.org,F71-jhm@apache.org,F74,F73,F84,F146,category
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,13,60,7751,2,0,1075,3,148,0.375160051216,737,721,0.97829036635,1.0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,BAD_PRACTICE,0.00754400670578,DE_MIGHT_IGNORE,19,3,3,0.0971428571429,0.00571428571429,0.00244897959184,0.333333333333,0.333333333333,0.00888888888889,0.308300395257,0.45773666,-0.333333333333,0.00586756077117,0.0628667225482,0.45773666,-0.378151260504,0.142857142857,85,8455,3217,9489,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1359,13497,34,1068,0
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,6,60,7751,2,8,1075,2,148,0.998079385403,737,721,0.97829036635,0.833333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,MALICIOUS_CODE,0.000838222967309,DP_CREATE_CLASSLOADER_INSIDE_DO_PRIVILEGED,18,2,1,0.0971428571429,0.00571428571429,0.000816326530612,-1.0,0.0,0.0,0.229508196721,0.174054840604,-1.0,0.0,0.0117351215423,0.174054840604,-0.378151260504,0.142857142857,10,742,528,1776,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1359,13497,34,1068,1
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,15,60,7751,2,8,1075,3,148,0.493597951344,737,721,0.97829036635,0.630952380952,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,BAD_PRACTICE,0.0502933780386,NM_CONFUSING,19,3,0,0.0971428571429,0.00571428571429,0.000408163265306,0.5,0.366666666667,0.00928888888889,0.308300395257,0.45773666,-0.266666666667,0.00586756077117,0.0628667225482,0.45773666,-0.378151260504,0.142857142857,156,12219,3817,13253,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1359,13497,34,1068,0
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,14,60,7751,2,10,1075,3,148,0.136363636364,737,721,0.97829036635,0.716931216931,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,BAD_PRACTICE,0.0502933780386,NM_CONFUSING,19,3,0,0.0971428571429,0.00571428571429,0.000408163265306,0.5,0.366666666667,0.00928888888889,0.308300395257,0.45773666,-0.266666666667,0.00586756077117,0.0628667225482,0.45773666,-0.378151260504,0.142857142857,156,12219,3817,13253,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1359,13497,34,1068,0
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,22,60,7751,2,12,1075,7,148,0.765685019206,737,721,0.97829036635,0.227272727273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,STYLE,0.0192791282481,PZLA_PREFER_ZERO_LENGTH_ARRAYS,20,3,1,0.0971428571429,0.00571428571429,0.000816326530612,-1.0,0.0,0.0,0.253298153034,0.448765691617,-1.0,0.00586756077117,0.0779547359598,0.448765691617,-0.378151260504,0.142857142857,156,12219,3817,13253,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1359,13497,34,1068,1
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,13,60,7751,2,8,1075,3,148,0.370678617157,737,721,0.97829036635,0.230769230769,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,STYLE,0.0310142497904,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,20,3,3,0.0971428571429,0.00571428571429,0.00244897959184,0.333333333333,0.216216216216,0.00564889213538,0.253298153034,0.448765691617,-0.567567567568,0.00586756077117,0.0779547359598,0.448765691617,-0.378151260504,0.142857142857,95,9487,3269,10521,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1359,13497,34,1068,1
10851,org/apache/tools/ant,org/apache/tools/ant/AntClassLoader.java,3288,True,13,60,7751,2,0,1075,3,148,0.375160051216,737,721,0.97829036635,1.0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,7,STYLE,0.0385582564962,REC_CATCH_EXCEPTION,20,3,3,0.0971428571429,0.00571428571429,0.00244897959184,0.333333333333,0.45652173913,0.00827032136106,0.253298153034,0.448765691617,-0.0869565217391,0.00586756077117,0.0779547359598,0.448765691617,-0.378151260504,0.142857142857,85,8455,3217,9489,51,0.0,1,25,26,77,0.0158546246782,2395,1634,146,4175,0,761,0,0.220059682552,0,36333,0,26706,2868,0,65907,9627,0.136942624199,325,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1359,13497,34,1068,0
6363,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,2517,True,26,10,7751,2,0,1075,1,148,0.869109947644,142,32,0.225352112676,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,3,I18N,0.134953897737,DM_DEFAULT_ENCODING,19,1,1,0.0971428571429,0.00244897959184,0.000816326530612,-1.0,0.23602484472,0.0901585586976,0.20652173913,0.00544020774661,-0.527950310559,0.000838222967309,0.0310142497904,0.00544020774661,-0.378151260504,0.333333333333,0,730,520,1764,51,0.0,1,25,26,77,0.0158546246782,63,138,7,208,0,-75,0,0.128450947456,0,36333,0,26706,2868,0,65907,9627,0.136942624199,729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1764,13497,34,1068,1
6363,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,2517,True,6,10,7751,2,4,1075,2,148,0.261780104712,142,32,0.225352112676,0.833333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,3,CORRECTNESS,0.0712489522213,IJU_TEARDOWN_NO_SUPER,7,2,1,0.0971428571429,0.00244897959184,0.000816326530612,1.0,0.764705882353,0.0163573450771,0.690265486726,0.24869245239,0.529411764706,0.0,0.0653813914501,0.24869245239,-0.378151260504,0.333333333333,17,7607,3136,8641,51,0.0,1,25,26,77,0.0158546246782,63,138,7,208,0,-75,0,0.128450947456,0,36333,0,26706,2868,0,65907,9627,0.136942624199,729,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1764,13497,34,1068,0
6363,org/apache/tools/ant,org/apache/tools/ant/AntClassLoaderTest.java,2517,True,30,10,7751,2,8,1075,3,148,0.387434554974,142,32,0.225352112676,0.1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,3,STYLE,0.0905280804694,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,20,3,1,0.0971428571429,0.00244897959184,0.000816326530612,1.0,0.12962962963,0.00376085962506,0.253298153034,0.448765691617,-0.740740740741,0.00586756077117,0.0779547359598,0.448765691617,-0.378151260504,0.333333333333,2,738,527,1772,51,0.0,1,25,26,77,0.0158546246782,63,138,7,208,0,-75,0,0.128450947456,0,36333,0,26706,2868,0,65907,9627,0.136942624199,729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1764,13497,34,1068,0
