F72,F54,Name,F25,F26,F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,F16-ByteBuffer,F16-long,F16-Boolean,F16-ByteBuffer[][],F16-Token,F16-AbstractType,F16-Object,F16-NA,F16-void,F16-int,F16-boolean,F16-Double,F16-String,F16-Integer,F16-Pair,F16-Long,F16-MessageOut,F16-File,F16-CommitLogSegment,F16-byte[][],F3-NA,F3-Class,F3-EncryptionOptions,F3-Composites.EMPTY,F3-PrintStream,F3-SSTableReader,F3-byte[],F3-DecoratedKey,F3-boolean,F3-arg0.name().toByteBuffer(),F3-char,F3-String,F3-long,F3-InetAddress,F3-int,F3-ByteBuffer,F3-String[],F3-Thread,F3-BitSet,F3-input,F7-^,F7---,F7-++,F7-%,F7-&,F7-*,F7-+,F7-^=,F7--,F7--=,F7-+=,F7-NA,F7-*=,F12-long,F12-int,F12-FixedValueComparator,F12-List<ByteBuffer>,F12-NA,F12-Map<Pair MapType>,F12-TField,F12-Logger,F12-Map<AbstractType SetType>,F12-String,F12-OptionSimple,F12-double,F12-Pattern,F12-DistributionFactory,F12-List<AbstractType>,F12-TStruct,F12-List<ColumnInfo>,F12-UUID,F12-InetAddress,F12-Map<Class<? extends IScheme> SchemeFactory>,F17-static,F17-final,F17-NA,F2-Class,F2-Process,F2-NA,F2-Random,F2-TreeSet<CellName>,F2-ArrayList<ReadCommand>,F2-Integer,F2-SSLFactory,F2-Math,F2-List<ByteBuffer>,F2-StandardTokenizerImpl,F2-CqlLexer,F2-PrintStream,F2-String,F2-ByteBuffer,F2-System,F2-Cql_Lexer,F2-Boolean,F2-ThreadPoolExecutor,F2-File,F6-java.util.Random,F6-org.apache.cassandra.io.util.DataOutputStreamAndChannel,F6-NA,F6-org.apache.cassandra.db.BufferCell,F6-java.io.FileOutputStream,F6-org.apache.cassandra.cli.MismatchedSetException,F6-org.apache.cassandra.db.marshal.InetAddressType,F6-java.util.HashMap<java.lang.Class<? extends org.apache.cassandra.thrift.IScheme> org.apache.cassandra.thrift.SchemeFactory>,F6-java.io.PrintStream,F6-java.lang.IllegalStateException,F6-org.apache.cassandra.cli.RewriteRuleSubtreeStream,F6-java.io.DataInputStream,F6-org.apache.thrift.protocol.TStruct,F6-java.io.File,F6-java.lang.String,F6-java.lang.StringBuilder,F6-org.apache.cassandra.stress.settings.OptionSimple,F6-org.apache.thrift.protocol.TField,F6-java.io.BufferedReader,F6-org.apache.cassandra.db.marshal.DynamicCompositeType.FixedValueComparator,F13-private,F13-NA,F13-public,F13-protected,F18-private,F18-NA,F18-public,F14-static-final,F14-static,F14-final-final,F14-NA,F14-final,F1-size,F1-registerQuery,F1-NA,F1-add,F1-close,F1-pushFollow,F1-assertEquals,F1-write,F1-get,F1-getSSTables,F1-equals,F1-compareTo,F1-predict,F1-value,F1-getLogger,F1-match,F1-createTempFile,F1-count,F1-max,F1-exit,F5-java.util.AbstractMap,F5-java.lang.Object,F5-NA,F5-java.io.OutputStreamWriter,F5-AbstractType,F5-OpDistributionFactory,F5-java.io.FilterOutputStream,F5-java.io.FilterInputStream,F5-java.util.EventObject,F5-java.lang.Number,F5-java.lang.RuntimeException,F5-java.io.Reader,F5-java.lang.AbstractStringBuilder,F5-org.apache.cassandra.db.commitlog.CommitLogReplayer$ReplayFilter,F5-java.io.BufferedReader,F5-java.io.OutputStream,F9-dataDir,F9-description,F9-bloom_filter_fp_chance,F9-displayPrefix,F9-max,F9-tries,F9-visits,F9-string,F9-key_cache_size,F9-delta,F9-distribution,F9-keyspaceName,F9-insert,F9-min,F9-dclocal_read_repair_chance,F9-NA,F9-userTypes,F9-out,F9-delegate,F9-batchsize,F10-NA,F10-true,F19-NA,F15-NA,F15-private,F15-protected,F15-public,F0-NA,F4-NA,F4-CommonTree,F4-String[],F4-boolean,F4-InputStream,F4-ByteBuffer,F4-long,F4-SSLContext,F4-Raw,F4-byte[],F4-File,F4-void,F4-StringBuilder,F4-int,F4-String,F4-Field,F4-BigInteger,F4-long[],F4-OutputStream,F4-byte,F8-DistributionBoundApache,F8-ColumnFamilyMetricNameFactory,F8-SettingsErrors,F8-StressSettings,F8-DistributionOffsetApache,F8-GeneratorConfig,F8-OptionSimple,F8-DistributionInverted,F8-SettingsTransport,F8-DistributionQuantized,F8-KeyspaceMetricNameFactory,F8-NA,F8-SettingsPopulation,F8-UTMetaData,F8-StreamState,F8-SettingsInsert,F8-WriterThread,F8-SeedManager,F8-CfDef,F8-DataOutputStreamPlus,F11-SUPER_COLUMN_FIELD_DESC,F11-IRE_FIELD_DESC,F11-COMPRESSION_FIELD_DESC,F11-NA,F11-NAME_FIELD_DESC,F11-SUCCESS_FIELD_DESC,F11-KEY_FIELD_DESC,F11-schemes,F11-KEYSPACE_FIELD_DESC,F11-logger,F11-START_TOKEN_FIELD_DESC,F11-WHY_FIELD_DESC,F11-COLUMN_PARENT_FIELD_DESC,F11-STRUCT_DESC,F11-COLUMN_FAMILY_FIELD_DESC,F11-COLUMNS_FIELD_DESC,F11-instance,F11-QUERY_FIELD_DESC,F11-UE_FIELD_DESC,F11-ITEM_ID_FIELD_DESC,F94,F95,F21,F109,F20,F23,F22,F79,F111,F112,F113,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,F41,F40,F43,F42,F45,F44,F46,F126,F127,F128,F129,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F83,F71-xedin@apache.org,F71-jmckenzie@apache.org,F71-povel.y@gmail.com,F71-sylvain@datastax.com,F71-yukim@apache.org,F71-brandonwilliams@apache.org,F71-dbrosius@mebigfatguy.com,F71-johan@apache.org,F71-benedict@apache.org,F71-jakers@gmail.com,F71-marcuse@apache.org,F71-jbellis@apache.org,F71-gdusbabek@apache.org,F71-vijay2win@gmail.com,F71-dbrosius@apache.org,F71-aleksey@apache.org,F71-jake@apache.org,F71-eevans@apache.org,F71-tyler@datastax.com,F71-slebresne@apache.org,F74,F73,F84,F146,category
10814,org/apache/cassandra,org/apache/cassandra/AbstractSerializationsTester.java,1437,True,0,4,503,2,4,90,1,44,0.513513513514,47,19,0.404255319149,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,MALICIOUS_CODE,0.00541586073501,MS_MUTABLE_COLLECTION_PKGPROTECT,18,2,0,0.000821186614658,0.000102648326832,0.0,0.0,0.357142857143,0.0208719851577,0.252747252747,0.201630101588,-0.285714285714,0.000386847195358,0.00851063829787,0.201630101588,-0.75,-1.0,14,7561,1423,10711,2,0.0,0,0,2,2,0.00269905533063,25,2,5,32,0,23,0,0.0156572525264,0,1022,0,337,130,0,1489,685,0.063413884383,887,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,4033,13775,109,3258,1
10814,org/apache/cassandra,org/apache/cassandra/AbstractSerializationsTester.java,1437,True,5,4,503,2,8,90,1,44,0.959459459459,47,19,0.404255319149,0.6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,BAD_PRACTICE,0.0112185686654,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,16,2,1,0.000821186614658,0.000102648326832,5.13241634161e-05,-1.0,0.448275862069,0.00916017087242,0.404634581105,0.330751671836,-0.0689655172414,0.00425531914894,0.0847195357834,0.330751671836,-0.75,-1.0,16,7664,1437,10814,2,0.0,0,0,2,2,0.00269905533063,25,2,5,32,0,23,0,0.0156572525264,0,1022,0,337,130,0,1489,685,0.063413884383,887,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,4033,13775,109,3258,1
10896,org/apache/cassandra,org/apache/cassandra/EmbeddedServer.java,1446,True,0,3,503,4,4,90,1,44,0.373493975904,55,18,0.327272727273,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,MALICIOUS_CODE,0.00348162475822,MS_PKGPROTECT,18,2,0,0.000821186614658,0.000102648326832,0.0,0.0,0.222222222222,0.0157126823793,0.252747252747,0.201630101588,-0.555555555556,0.000386847195358,0.00851063829787,0.201630101588,-0.75,1.0,7,8902,1659,12052,2,0.0,0,0,2,2,0.00269905533063,2,5,0,7,0,-3,0,0.0170149719276,0,1022,0,337,130,0,1489,685,0.063413884383,1591,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4740,13775,109,3258,0
10896,org/apache/cassandra,org/apache/cassandra/EmbeddedServer.java,1446,True,0,3,503,4,0,90,1,44,0.686746987952,55,18,0.327272727273,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,STYLE,0.0704061895551,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,20,3,1,0.000821186614658,0.000102648326832,5.13241634161e-05,1.0,0.0549450549451,0.00179055503042,0.166089965398,0.765813119486,-0.879120879121,0.00773694390716,0.0676982591876,0.765813119486,-0.75,1.0,1,4452,909,7602,2,0.0,0,0,2,2,0.00269905533063,2,5,0,7,0,-3,0,0.0170149719276,0,1022,0,337,130,0,1489,685,0.063413884383,1591,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4740,13775,109,3258,0
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,665,True,22,8,503,3,8,90,3,44,0.634730538922,129,21,0.162790697674,0.136363636364,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,I18N,0.0394584139265,DM_DEFAULT_ENCODING,19,1,1,0.000821186614658,0.000153972490248,5.13241634161e-05,-1.0,0.529411764706,0.124567474048,0.377049180328,0.00857516425007,0.137254901961,0.0027079303675,0.0251450676983,0.00857516425007,-0.75,-1.0,5,3383,665,6533,2,0.0,0,0,2,2,0.00269905533063,140,3,0,143,0,137,0,0.419898745322,0,1022,0,337,130,0,1489,685,0.063413884383,1853,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,109,3258,1
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,665,True,0,8,503,3,8,90,1,44,0.215568862275,129,21,0.162790697674,1.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,BAD_PRACTICE,0.0181818181818,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,19,2,0,0.000821186614658,0.000153972490248,0.0,0.0,0.255319148936,0.00704189930084,0.404634581105,0.330751671836,-0.446808510638,0.00425531914894,0.0847195357834,0.330751671836,-0.75,-1.0,5,3383,665,6533,2,0.0,0,0,2,2,0.00269905533063,140,3,0,143,0,137,0,0.419898745322,0,1022,0,337,130,0,1489,685,0.063413884383,1853,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,109,3258,1
6533,org/apache/cassandra,org/apache/cassandra/MethodComparator.java,665,True,0,8,503,3,0,90,1,44,0.892215568862,129,21,0.162790697674,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,BAD_PRACTICE,0.00464216634429,EQ_COMPARETO_USE_OBJECT_EQUALS,16,2,1,0.000821186614658,0.000153972490248,5.13241634161e-05,-1.0,0.416666666667,0.00900205761317,0.404634581105,0.330751671836,-0.166666666667,0.00425531914894,0.0847195357834,0.330751671836,-0.75,-1.0,5,3383,665,6533,2,0.0,0,0,2,2,0.00269905533063,140,3,0,143,0,137,0,0.419898745322,0,1022,0,337,130,0,1489,685,0.063413884383,1853,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,13775,109,3258,1
4011,org/apache/cassandra,org/apache/cassandra/OffsetAwareConfigurationLoader.java,189,True,2,2,503,1,0,90,1,44,0.634920634921,31,17,0.548387096774,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,PERFORMANCE,0.0027079303675,DM_BOXED_PRIMITIVE_FOR_PARSING,16,1,1,0.000821186614658,5.13241634161e-05,5.13241634161e-05,-1.0,0.142857142857,0.0094191522763,0.519269776876,0.194770274263,-0.571428571429,0.0116054158607,0.094003868472,0.194770274263,-0.75,-1.0,0,861,189,4011,2,0.0,0,0,2,2,0.00269905533063,39,0,0,39,0,39,0,0.18932038835,0,1022,0,337,130,0,1489,685,0.063413884383,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4011,13775,109,3258,1
4653,org/apache/cassandra,org/apache/cassandra/SchemaLoader.java,301,True,5,22,503,18,8,90,2,44,0.995789473684,369,43,0.116531165312,0.8,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,STYLE,0.00696324951644,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,13,2,1,0.000821186614658,5.13241634161e-05,5.13241634161e-05,-1.0,0.277777777778,0.00691783737761,0.166089965398,0.765813119486,-0.333333333333,0.00773694390716,0.0676982591876,0.765813119486,-0.75,-1.0,46,4953,1020,8103,2,0.0350877192982,0,0,2,2,0.00269905533063,559,232,118,909,0,327,2,0.0386050117023,2,1022,0,337,130,2,1489,685,0.063413884383,325,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,3474,13775,109,3258,1
5999,org/apache/cassandra,org/apache/cassandra/Util.java,561,True,2,37,503,6,0,90,1,44,0.551451187335,296,31,0.10472972973,1.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,STYLE,0.0402321083172,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,18,2,1,0.000821186614658,5.13241634161e-05,5.13241634161e-05,-1.0,0.115384615385,0.00351968985921,0.166089965398,0.765813119486,-0.769230769231,0.00773694390716,0.0676982591876,0.765813119486,-0.75,-1.0,71,9185,1730,12335,2,0.0,0,0,2,2,0.00269905533063,200,95,7,302,0,105,0,0.0243291610434,0,1022,0,337,130,0,1489,685,0.063413884383,109,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,3258,13775,109,3258,1
