F55,F116,F117,F118,F119,F120,F110,F121,F122,F123,F114,F115,F61,F77,F88,F70,category
org/apache/commons/cli/avalon/CLArgsParser.java,1.0,0.363636363636,0.0462809917355,0.351351351351,0.165368191083,-0.272727272727,0.00501672240803,0.0167224080268,0.165368191083,1.0,1.0,9,7098,2846,11856,0.0
org/apache/commons/cli/avalon/CLArgsParser.java,1.0,0.105263157895,0.018836565097,0.351351351351,0.165368191083,-0.789473684211,0.00501672240803,0.0167224080268,0.165368191083,1.0,1.0,9,7098,2846,11856,0.0
org/apache/commons/cli/avalon/CLArgsParser.java,1.0,0.105263157895,0.018836565097,0.351351351351,0.165368191083,-0.789473684211,0.00501672240803,0.0167224080268,0.165368191083,1.0,1.0,9,7098,2846,11856,0.0
org/apache/commons/jexl/bsf/JexlEngine.java,1.0,0.395833333333,0.0113880621693,0.502590673575,0.351831883154,-0.208333333333,0.204013377926,0.23745819398,0.351831883154,1.0,1.0,8,3856,1694,8614,0.0
org/apache/jmeter/JMeter.java,1.0,0.833333333333,0.0173611111111,0.568965517241,0.083760073986,0.666666666667,0.0418060200669,0.0267558528428,0.083760073986,0.666666666667,0.5,27,2206,697,6964,0.0
org/apache/jmeter/JMeter.java,-1.0,0.363636363636,0.0462809917355,0.351351351351,0.165368191083,-0.272727272727,0.00501672240803,0.0167224080268,0.165368191083,0.666666666667,0.5,118,6866,2756,11624,1.0
org/apache/jmeter/JMeter.java,0.0,0.733333333333,0.0325925925926,0.767441860465,0.0507433447509,0.466666666667,0.0367892976589,0.0418060200669,0.0507433447509,0.666666666667,0.5,157,9003,3795,13761,1.0
org/apache/jmeter/JMeter.java,0.0,0.733333333333,0.0325925925926,0.767441860465,0.0507433447509,0.466666666667,0.0367892976589,0.0418060200669,0.0507433447509,0.666666666667,0.5,157,9003,3795,13761,1.0
org/apache/jmeter/JMeterReport.java,1.0,0.833333333333,0.0173611111111,0.568965517241,0.083760073986,0.666666666667,0.0418060200669,0.0267558528428,0.083760073986,0.666666666667,1.0,30,6700,2698,11458,0.0
org/apache/jmeter/JMeterReport.java,1.0,0.363636363636,0.0462809917355,0.351351351351,0.165368191083,-0.272727272727,0.00501672240803,0.0167224080268,0.165368191083,0.666666666667,1.0,30,6700,2698,11458,0.0
